regulator	replicate	fastq_1	fastq_2
GCN4xncAD_SM	C	fastq/SRX24857924_SRR29342127_1.fastq.gz	fastq/SRX24857924_SRR29342127_2.fastq.gz
GCN4xstandard	A	fastq/SRX20967486_SRR25220626_1.fastq.gz	fastq/SRX20967486_SRR25220626_2.fastq.gz
GCN4xstandard	B	fastq/SRX20967487_SRR25220625_1.fastq.gz	fastq/SRX20967487_SRR25220625_2.fastq.gz
GCN4xstandard	C	fastq/SRX20967488_SRR25220624_1.fastq.gz	fastq/SRX20967488_SRR25220624_2.fastq.gz
EAF5xstandard	A	fastq/SRX20967316_SRR25220796_1.fastq.gz	fastq/SRX20967316_SRR25220796_2.fastq.gz
EAF5xstandard	B	fastq/SRX20967317_SRR25220795_1.fastq.gz	fastq/SRX20967317_SRR25220795_2.fastq.gz
EAF5xstandard	C	fastq/SRX20967318_SRR25220794_1.fastq.gz	fastq/SRX20967318_SRR25220794_2.fastq.gz
RAD23xstandard	A	fastq/SRX20967049_SRR25220447_1.fastq.gz	fastq/SRX20967049_SRR25220447_2.fastq.gz
RAD23xstandard	B	fastq/SRX20967181_SRR25220315_1.fastq.gz	fastq/SRX20967181_SRR25220315_2.fastq.gz
RAD23xstandard	C	fastq/SRX20967182_SRR25220314_1.fastq.gz	fastq/SRX20967182_SRR25220314_2.fastq.gz
GLN3xstandard	A	fastq/SRX20967129_SRR25220367_1.fastq.gz	fastq/SRX20967129_SRR25220367_2.fastq.gz
GLN3xstandard	B	fastq/SRX20967130_SRR25220366_1.fastq.gz	fastq/SRX20967130_SRR25220366_2.fastq.gz
GLN3xstandard	C	fastq/SRX20967131_SRR25220365_1.fastq.gz	fastq/SRX20967131_SRR25220365_2.fastq.gz
ACA1xstandard	A	fastq/SRX20967256_SRR25220856_1.fastq.gz	fastq/SRX20967256_SRR25220856_2.fastq.gz
ACA1xstandard	B	fastq/SRX20967257_SRR25220855_1.fastq.gz	fastq/SRX20967257_SRR25220855_2.fastq.gz
ACA1xstandard	C	fastq/SRX20967258_SRR25220854_1.fastq.gz	fastq/SRX20967258_SRR25220854_2.fastq.gz
SWI4xstandard	A	fastq/SRX20967420_SRR25220692_1.fastq.gz	fastq/SRX20967420_SRR25220692_2.fastq.gz
SWI4xstandard	B	fastq/SRX20967349_SRR25220763_1.fastq.gz	fastq/SRX20967349_SRR25220763_2.fastq.gz
SWI4xstandard	C	fastq/SRX20967350_SRR25220762_1.fastq.gz	fastq/SRX20967350_SRR25220762_2.fastq.gz
COM2xstandard	A	fastq/SRX20967376_SRR25220736_1.fastq.gz	fastq/SRX20967376_SRR25220736_2.fastq.gz
COM2xstandard	B	fastq/SRX20967377_SRR25220735_1.fastq.gz	fastq/SRX20967377_SRR25220735_2.fastq.gz
